id,event_time,username,role,action,detail
61,2026-03-08 08:32:07,Diya183,user,Generate Face,Automated schedule
62,2025-12-09 18:08:35,Kiaan117,user,Model Retrain,User initiated
63,2025-12-19 06:25:47,Pari465,user,Model Retrain,Automated schedule
64,2026-01-21 10:12:13,Avni300,user,Logout,User initiated
65,2026-02-16 03:10:05,Anaya293,user,Logout,From analytics panel
66,2026-01-10 12:12:45,Aditya179,user,Attendance Marked,From analytics panel
67,2026-01-29 11:06:12,Ishaan372,user,Export CSV,From desktop client
68,2026-02-02 15:55:28,Sara285,user,Compare Faces,Automated schedule
69,2026-03-04 09:35:59,Diya637,user,Attendance Marked,From desktop client
70,2025-12-28 00:56:52,Aditya179,user,Export CSV,User initiated
71,2026-01-06 06:25:54,Anaya293,user,Password Changed,From analytics panel
72,2026-01-20 04:54:22,Avni300,user,Logout,Batch execution
73,2025-12-15 14:14:22,Riya897,user,Login,From desktop client
74,2025-12-25 18:17:19,Kabir906,user,Settings Changed,User initiated
75,2026-02-08 13:30:02,Anaya861,user,Login,From desktop client
76,2026-02-13 07:05:41,Aarav485,user,Compare Faces,User initiated
77,2026-03-10 03:15:39,Kabir922,user,Login,Automated schedule
78,2026-02-10 13:51:18,Diya284,user,Login,Batch execution
79,2026-01-29 23:47:45,Dhruv10,user,Generate Face,From analytics panel
80,2026-02-10 17:45:46,Arjun667,user,Password Changed,Manual trigger
81,2025-12-16 05:41:35,Aditya340,user,Compare Faces,From analytics panel
82,2025-11-25 23:29:08,Diya451,user,Attendance Marked,Batch execution
83,2025-11-16 06:07:47,Diya637,user,Model Retrain,Manual trigger
84,2025-12-02 17:52:52,Kabir308,user,Login,Manual trigger
85,2025-12-06 02:50:39,Kabir308,user,Password Changed,From desktop client
86,2025-11-28 11:48:51,Riya442,user,Attendance Marked,Manual trigger
87,2026-01-25 23:05:49,Ishaan627,user,Attendance Marked,Batch execution
88,2025-11-30 11:32:45,Kiara950,user,Settings Changed,From desktop client
89,2025-11-23 22:01:09,Aadhya505,user,Logout,Automated schedule
90,2025-12-26 23:07:01,Riya933,user,Attendance Marked,Manual trigger
91,2025-12-03 15:23:51,Riya945,user,Generate Face,Manual trigger
92,2026-02-15 14:21:18,Aditya246,user,Export CSV,User initiated
93,2026-01-13 13:29:02,Kiaan774,user,Login,Manual trigger
94,2026-02-06 06:45:19,Ishaan207,user,Generate Face,Batch execution
95,2025-12-07 21:51:05,Arjun421,user,Settings Changed,Batch execution
96,2026-02-02 16:05:00,shishir,admin,Login,From desktop client
97,2026-01-02 15:02:45,Arjun893,user,Login,Automated schedule
98,2026-01-10 17:49:02,Pari23,user,Attendance Marked,Manual trigger
99,2025-12-01 17:39:22,Kiara14,user,Settings Changed,Manual trigger
100,2026-01-25 10:54:23,Dhruv667,user,Logout,Manual trigger
101,2026-01-28 05:32:12,Diya317,user,Password Changed,Batch execution
102,2026-02-07 02:25:40,Aarav325,user,Export CSV,Automated schedule
103,2025-12-05 06:00:37,Pari869,user,Login,User initiated
104,2026-02-02 21:38:12,Ishaan944,admin,Export CSV,Manual trigger
105,2025-11-16 14:16:49,Avni631,user,Attendance Marked,User initiated
106,2025-12-02 01:31:13,Reyansh444,user,Password Changed,User initiated
107,2025-12-23 13:41:07,Kabir26,user,Model Retrain,Automated schedule
108,2025-12-23 06:52:17,Kabir308,user,Export CSV,User initiated
109,2026-01-29 02:04:51,Riya933,user,Attendance Marked,Automated schedule
110,2026-01-19 19:04:44,Aarav480,user,Settings Changed,From analytics panel
111,2026-02-12 01:17:37,Aditya656,user,Compare Faces,Batch execution
112,2026-03-07 08:38:49,Kiara937,user,Model Retrain,User initiated
113,2025-12-06 19:09:52,Pari465,user,Export CSV,User initiated
114,2026-03-08 15:23:58,Aditya246,user,Settings Changed,Manual trigger
115,2026-01-14 20:18:42,Sara194,user,Password Changed,User initiated
116,2025-12-10 14:12:45,Kiara711,user,Password Changed,From desktop client
117,2026-02-08 06:27:47,Aarav171,user,Model Retrain,From analytics panel
118,2026-03-10 06:41:43,Ira275,user,Attendance Marked,From analytics panel
119,2026-01-04 04:25:23,Myra407,user,Password Changed,User initiated
120,2026-03-13 04:53:00,Diya389,user,Attendance Marked,Batch execution
121,2026-03-02 14:33:43,Kiaan774,user,Settings Changed,Automated schedule
122,2025-12-09 18:10:51,Anaya339,user,Login,User initiated
123,2026-02-24 21:07:47,Pari869,user,Export CSV,Automated schedule
124,2025-12-16 00:03:27,Aarav824,user,Password Changed,Automated schedule
125,2025-12-03 09:46:05,Vihaan16,user,Logout,Automated schedule
126,2026-01-27 14:45:31,Ishaan572,user,Attendance Marked,From desktop client
127,2025-11-19 15:44:26,Riya340,user,Logout,Batch execution
128,2026-01-13 21:57:06,shishir,admin,Settings Changed,Manual trigger
129,2025-11-20 09:46:28,Dhruv667,user,Password Changed,From analytics panel
130,2025-11-25 09:20:26,Vihaan738,user,Attendance Marked,User initiated
131,2025-12-30 10:23:15,Diya451,user,Settings Changed,From desktop client
132,2026-01-14 01:51:35,Avni870,admin,Login,User initiated
133,2025-11-13 07:27:00,Kiaan117,user,Settings Changed,From analytics panel
134,2025-11-23 03:24:38,Kabir531,user,Password Changed,User initiated
135,2025-11-20 08:11:36,Aditya530,user,Export CSV,User initiated
136,2026-02-20 16:58:00,Ishaan372,user,Attendance Marked,Manual trigger
137,2025-12-02 02:23:38,Anaya293,user,Logout,User initiated
138,2025-12-11 09:50:03,Atharv900,user,Login,Manual trigger
139,2026-01-18 03:41:26,Ishaan207,user,Model Retrain,From analytics panel
140,2025-12-13 01:01:47,Riya340,user,Settings Changed,Manual trigger
141,2026-03-11 20:41:01,Riya442,user,Attendance Marked,User initiated
142,2026-02-18 14:13:03,Aadhya505,user,Model Retrain,Batch execution
143,2025-12-14 05:33:24,Anaya874,user,Compare Faces,Manual trigger
144,2026-02-13 03:32:55,Kiara616,user,Login,From desktop client
145,2025-12-27 04:57:51,Ishaan257,user,Login,From desktop client
146,2025-12-18 17:14:24,Kiara937,user,Password Changed,From analytics panel
147,2026-01-16 01:20:38,Riya933,user,Model Retrain,Automated schedule
148,2025-12-20 10:19:01,shishir,admin,Compare Faces,From analytics panel
149,2026-02-08 13:01:54,Ira249,user,Login,From analytics panel
150,2026-02-24 07:32:27,Ishaan627,user,Export CSV,User initiated
151,2025-12-10 16:17:47,Arjun635,user,Logout,Batch execution
152,2026-02-04 08:06:34,Anaya339,user,Password Changed,User initiated
153,2025-12-22 07:15:55,Avni545,user,Generate Face,User initiated
154,2026-02-28 03:27:12,Kiara711,user,Attendance Marked,User initiated
155,2025-12-21 07:57:23,Sara194,user,Settings Changed,From analytics panel
156,2025-12-30 21:36:34,Sara239,user,Generate Face,From analytics panel
157,2026-01-22 11:53:43,Diya637,user,Password Changed,Automated schedule
158,2026-02-21 10:26:19,Aadhya505,user,Generate Face,User initiated
159,2025-11-20 10:55:20,Sara919,user,Password Changed,Batch execution
160,2025-11-15 16:38:32,Diya389,user,Password Changed,User initiated
161,2026-01-07 08:30:09,Aditya656,user,Logout,User initiated
162,2026-01-02 07:23:30,Anaya293,user,Attendance Marked,User initiated
163,2025-12-01 07:07:55,Vihaan16,user,Attendance Marked,From desktop client
164,2026-01-11 12:47:44,Riya313,admin,Password Changed,From analytics panel
165,2026-01-09 23:06:24,Aadhya418,user,Export CSV,From desktop client
166,2026-01-31 11:01:13,Riya313,admin,Model Retrain,Manual trigger
167,2026-02-01 08:59:26,Kiaan460,user,Password Changed,User initiated
168,2026-01-07 17:57:47,Diya389,user,Compare Faces,Manual trigger
169,2026-02-07 11:48:00,Aarav474,user,Logout,Manual trigger
170,2026-02-06 09:44:31,Diya183,user,Password Changed,Batch execution
171,2026-01-17 19:03:33,Aarav480,user,Export CSV,Batch execution
172,2026-02-15 15:05:56,Arjun893,user,Attendance Marked,From analytics panel
173,2026-01-02 00:19:19,Aadhya294,user,Model Retrain,Manual trigger
174,2025-11-30 15:21:29,Diya59,user,Settings Changed,From analytics panel
175,2026-03-10 22:23:01,Kabir531,user,Settings Changed,Manual trigger
176,2025-12-28 16:02:44,Kiara937,user,Generate Face,User initiated
177,2025-12-12 23:30:29,Dhruv146,user,Settings Changed,User initiated
178,2026-02-07 14:49:58,Atharv900,user,Compare Faces,From desktop client
179,2025-12-22 10:08:30,Pari586,user,Export CSV,From analytics panel
180,2026-03-06 09:58:47,Arjun667,user,Compare Faces,From desktop client
181,2026-02-13 23:22:28,Anaya861,user,Export CSV,From analytics panel
182,2026-01-21 08:04:48,Arjun421,user,Login,From desktop client
183,2026-02-17 16:49:42,Sara662,user,Login,Automated schedule
184,2026-01-19 08:04:01,Atharv240,user,Model Retrain,User initiated
185,2026-02-03 20:24:17,Aarav474,user,Settings Changed,Manual trigger
186,2026-01-05 07:18:01,Riya897,user,Attendance Marked,User initiated
187,2026-01-07 05:31:08,Anaya874,user,Login,Automated schedule
188,2026-02-24 08:30:02,Sara285,user,Logout,User initiated
189,2026-01-07 08:33:53,Kiara616,user,Generate Face,From desktop client
190,2026-03-06 17:32:13,Dhruv830,user,Settings Changed,Manual trigger
191,2025-11-15 00:13:33,Avni724,user,Settings Changed,From analytics panel
192,2025-12-02 22:43:19,Ira249,user,Generate Face,Batch execution
193,2026-01-11 11:53:51,Aarav485,user,Attendance Marked,Manual trigger
194,2025-12-13 06:40:01,Riya941,user,Compare Faces,From desktop client
195,2026-03-07 13:01:50,Anaya293,user,Password Changed,From desktop client
196,2026-03-05 12:56:06,Kiara14,user,Compare Faces,User initiated
197,2025-11-12 16:29:35,Ishaan969,user,Model Retrain,User initiated
198,2025-11-25 17:16:06,Avni579,user,Password Changed,From analytics panel
199,2026-03-07 01:39:57,Kiaan460,user,Password Changed,Automated schedule
200,2026-02-02 20:28:37,Ishaan969,user,Password Changed,From analytics panel
201,2025-11-30 07:13:23,Ishaan224,user,Export CSV,User initiated
202,2025-11-13 09:35:04,Aditya179,user,Compare Faces,Automated schedule
203,2026-02-06 16:59:59,Diya60,user,Model Retrain,Batch execution
204,2025-12-26 04:56:39,Aditya340,user,Attendance Marked,Manual trigger
205,2026-03-04 03:07:23,Diya283,user,Export CSV,Automated schedule
206,2026-03-05 00:12:45,Kiara616,user,Password Changed,Manual trigger
207,2026-02-04 13:37:32,Kabir525,user,Attendance Marked,From analytics panel
208,2026-01-06 09:02:15,Aarav480,user,Password Changed,Manual trigger
209,2025-12-12 02:37:19,Ishaan224,user,Password Changed,From desktop client
210,2025-12-02 08:23:26,Ira275,user,Login,User initiated
211,2026-01-21 06:20:17,Dhruv667,user,Compare Faces,From desktop client
212,2025-11-16 22:54:39,Kabir26,user,Logout,From analytics panel
213,2025-11-25 13:47:08,Vihaan113,user,Settings Changed,From analytics panel
214,2026-01-17 16:19:13,Kiara616,user,Model Retrain,Batch execution
215,2026-01-13 10:44:04,SG SHISHIR,user,Password Changed,Batch execution
216,2025-12-20 22:28:07,Vihaan738,user,Export CSV,Automated schedule
217,2026-01-31 14:19:15,Atharv96,user,Password Changed,Batch execution
218,2026-02-19 00:10:22,Arjun116,user,Settings Changed,From analytics panel
219,2026-02-19 03:21:06,Arjun116,user,Compare Faces,From desktop client
220,2026-03-12 11:10:25,Kabir308,user,Password Changed,Manual trigger
221,2026-02-14 01:47:17,Riya945,user,Compare Faces,From analytics panel
222,2025-12-21 13:40:25,Arjun893,user,Settings Changed,User initiated
223,2026-01-05 17:21:09,Kiara14,user,Logout,Manual trigger
224,2026-01-08 22:10:10,Diya59,user,Logout,Manual trigger
225,2025-12-04 02:35:13,Riya969,user,Password Changed,From desktop client
226,2026-03-06 13:37:50,Kabir531,user,Settings Changed,Batch execution
227,2025-12-09 03:32:48,Reyansh444,user,Attendance Marked,Batch execution
228,2026-01-01 03:50:53,Arjun635,user,Export CSV,From analytics panel
229,2025-11-15 20:53:42,Kabir922,user,Generate Face,Batch execution
230,2026-02-08 14:23:24,Ira275,user,Password Changed,From analytics panel
231,2026-01-20 23:39:28,Diya497,user,Logout,Batch execution
232,2026-02-14 19:34:45,Diya451,user,Settings Changed,User initiated
233,2026-01-12 18:58:12,Ira249,user,Password Changed,Automated schedule
234,2025-12-30 23:08:28,Ishaan257,user,Compare Faces,Automated schedule
235,2025-11-24 15:47:26,Kabir922,user,Settings Changed,From desktop client
236,2026-02-06 17:22:33,Ira249,user,Model Retrain,Manual trigger
237,2025-12-28 16:44:59,Dhruv667,user,Model Retrain,Batch execution
238,2026-03-04 15:14:44,Ishaan627,user,Attendance Marked,Batch execution
239,2026-02-22 04:01:25,Ira967,user,Export CSV,From desktop client
240,2026-01-24 10:47:21,Ishaan24,user,Compare Faces,Manual trigger
241,2026-01-04 22:26:34,Kiara14,user,Attendance Marked,Manual trigger
242,2025-12-21 13:54:51,Atharv96,user,Generate Face,User initiated
243,2026-02-21 03:05:19,Aarav474,user,Model Retrain,Automated schedule
244,2026-02-08 16:34:07,Aditya246,user,Compare Faces,User initiated
245,2026-03-09 18:18:10,Riya969,user,Logout,Batch execution
246,2025-11-26 14:00:23,Ishaan224,user,Password Changed,From analytics panel
247,2025-12-20 06:02:32,Arjun635,user,Export CSV,Manual trigger
248,2026-03-04 15:19:23,Aadhya294,user,Model Retrain,Manual trigger
249,2026-03-01 18:52:01,Riya442,user,Attendance Marked,Automated schedule
250,2025-12-12 06:09:19,Riya933,user,Settings Changed,Automated schedule
251,2025-12-28 16:05:48,Kiara616,user,Attendance Marked,Automated schedule
252,2026-02-23 02:18:05,Pari586,user,Export CSV,Batch execution
253,2026-03-04 06:31:01,Ishaan224,user,Login,From desktop client
254,2025-11-18 20:00:22,Atharv900,user,Login,Batch execution
255,2026-01-26 22:32:25,Aditya340,user,Logout,From desktop client
256,2026-01-25 21:52:43,SG SHISHIR,user,Login,From desktop client
257,2026-01-30 18:16:47,Aditya246,user,Attendance Marked,From desktop client
258,2026-02-13 07:39:04,Aditya179,user,Login,From analytics panel
259,2025-12-30 08:42:25,Vihaan751,user,Generate Face,User initiated
260,2025-11-12 12:14:22,Pari465,user,Logout,User initiated
261,2025-11-20 00:39:38,Aarav474,user,Settings Changed,Manual trigger
262,2025-12-25 06:23:58,Aarav474,user,Logout,From desktop client
263,2026-01-07 01:01:25,Kabir308,user,Password Changed,From desktop client
264,2025-11-29 02:52:50,Anaya861,user,Password Changed,Automated schedule
265,2026-02-24 17:14:03,Diya637,user,Attendance Marked,From analytics panel
266,2026-01-01 18:30:41,Aarav325,user,Password Changed,From desktop client
267,2025-12-24 02:57:51,Avni545,user,Compare Faces,Batch execution
268,2026-02-19 19:16:59,Ishaan224,user,Logout,User initiated
269,2026-03-13 08:00:30,Avni300,user,Password Changed,Manual trigger
270,2025-11-15 17:41:21,Kabir26,user,Logout,Automated schedule
271,2026-02-09 05:34:49,Vihaan113,user,Attendance Marked,Manual trigger
272,2025-11-18 19:09:06,Sara919,user,Password Changed,Batch execution
273,2026-03-08 05:57:58,Avni300,user,Attendance Marked,Automated schedule
274,2025-12-10 07:05:15,Vihaan751,user,Compare Faces,Automated schedule
275,2025-12-20 11:47:19,Aditya340,user,Logout,User initiated
276,2025-11-23 16:29:27,Vihaan16,user,Login,User initiated
277,2026-03-04 18:48:55,Aarav485,user,Generate Face,From analytics panel
278,2025-12-30 16:27:26,Atharv900,user,Attendance Marked,Batch execution
279,2026-02-02 22:12:51,Diya59,user,Attendance Marked,Automated schedule
280,2025-11-20 12:19:59,Vihaan888,user,Export CSV,From desktop client
281,2025-11-25 04:21:17,Sara662,user,Generate Face,From analytics panel
282,2025-12-21 07:31:39,Kiaan117,user,Settings Changed,From desktop client
283,2026-01-31 09:23:42,Aditya246,user,Password Changed,Automated schedule
284,2025-12-23 09:45:08,Pari869,user,Generate Face,From desktop client
285,2025-11-25 18:41:18,Pari869,user,Compare Faces,User initiated
286,2025-12-13 13:32:02,Dhruv146,user,Logout,User initiated
287,2026-01-04 22:01:40,Diya284,user,Attendance Marked,User initiated
288,2026-02-17 23:01:40,Diya497,user,Export CSV,Manual trigger
289,2026-02-28 12:06:00,Aditya179,user,Login,Batch execution
290,2026-02-27 22:49:48,Diya59,user,Logout,Batch execution
291,2026-02-11 10:42:37,Avni631,user,Settings Changed,From analytics panel
292,2025-11-24 10:08:13,Kiara711,user,Login,Manual trigger
293,2026-01-02 09:15:30,Kiaan117,user,Login,Automated schedule
294,2026-02-05 11:08:51,Kabir531,user,Compare Faces,Manual trigger
295,2025-12-14 08:44:21,Kabir922,user,Password Changed,User initiated
296,2026-01-29 16:21:41,Avni579,user,Model Retrain,Batch execution
297,2025-11-22 10:19:42,Myra89,user,Password Changed,Automated schedule
298,2025-12-09 14:10:17,Aarav875,user,Password Changed,Manual trigger
299,2026-01-01 11:20:31,Riya969,user,Settings Changed,Manual trigger
300,2025-12-13 10:36:03,Sara194,user,Compare Faces,Manual trigger
301,2025-12-28 00:36:47,Sara239,user,Logout,From desktop client
302,2025-11-14 07:58:44,Riya442,user,Logout,Manual trigger
303,2026-02-13 00:03:13,Kiaan774,user,Export CSV,Manual trigger
304,2025-11-20 10:28:40,Kiara616,user,Model Retrain,From desktop client
305,2026-03-05 16:54:33,Riya340,user,Export CSV,Manual trigger
306,2026-03-07 07:53:48,Aditya246,user,Model Retrain,Automated schedule
307,2026-02-28 21:46:12,Ishaan24,user,Logout,Automated schedule
308,2025-12-27 01:48:56,Ishaan944,admin,Model Retrain,From desktop client
309,2026-01-18 15:01:36,Diya389,user,Login,From analytics panel
310,2026-01-11 14:21:49,Dhruv10,user,Logout,Manual trigger
311,2025-12-05 04:31:39,Avni300,user,Export CSV,From analytics panel
312,2025-11-21 15:43:36,Aadhya440,user,Settings Changed,Manual trigger
313,2025-11-17 02:24:56,shishir,admin,Logout,User initiated
314,2025-12-24 08:16:44,Ishaan944,admin,Export CSV,Batch execution
315,2026-01-21 16:00:50,Aadhya294,user,Settings Changed,From analytics panel
316,2026-01-07 15:19:37,shishir,admin,Password Changed,Batch execution
317,2025-12-18 15:12:11,Vihaan888,user,Export CSV,From desktop client
318,2025-12-14 16:01:27,Kiara937,user,Export CSV,Automated schedule
319,2026-01-17 01:23:19,Atharv96,user,Export CSV,User initiated
320,2026-01-02 16:03:37,Avni545,user,Logout,Manual trigger
321,2026-02-07 18:20:00,shishir1,user,Password Changed,Automated schedule
322,2026-01-28 10:06:01,Kiaan774,user,Compare Faces,Manual trigger
323,2026-01-19 16:46:06,Aarav480,user,Attendance Marked,Automated schedule
324,2026-01-07 10:44:51,Avni300,user,Password Changed,From analytics panel
325,2026-03-06 13:03:17,Pari586,user,Export CSV,Batch execution
326,2026-01-03 07:48:54,Vihaan113,user,Login,User initiated
327,2026-01-11 03:59:34,Aditya340,user,Login,From analytics panel
328,2025-11-30 10:04:51,Dhruv146,user,Logout,Batch execution
329,2026-01-15 18:50:10,Aditya246,user,Password Changed,From desktop client
330,2025-12-16 21:39:07,Kabir32,user,Generate Face,From desktop client
331,2025-12-06 02:33:24,Arjun635,user,Export CSV,Automated schedule
332,2026-02-17 21:55:46,Ishaan24,user,Generate Face,User initiated
333,2026-01-02 19:48:10,Pari869,user,Compare Faces,Batch execution
334,2026-02-04 14:04:47,Aditya179,user,Export CSV,Manual trigger
335,2026-02-25 19:40:34,Kabir61,user,Export CSV,From analytics panel
336,2025-12-06 19:15:01,Vihaan132,user,Export CSV,User initiated
337,2026-03-12 08:00:23,Riya897,user,Logout,From desktop client
338,2026-01-28 04:03:15,shishir,admin,Model Retrain,From desktop client
339,2025-12-15 05:53:46,Pari586,user,Model Retrain,User initiated
340,2025-12-01 15:58:49,Myra116,admin,Login,User initiated
341,2026-02-28 22:59:48,Pari23,user,Password Changed,From analytics panel
342,2025-11-14 03:43:08,Anaya874,user,Password Changed,From analytics panel
343,2025-11-15 23:37:22,Diya183,user,Login,Batch execution
344,2026-02-05 04:53:39,Anaya861,user,Password Changed,Batch execution
345,2026-01-05 19:15:10,Riya897,user,Compare Faces,Automated schedule
346,2026-02-27 08:35:08,Diya727,user,Compare Faces,Manual trigger
347,2026-01-20 03:52:54,Diya727,user,Settings Changed,Automated schedule
348,2026-03-06 03:23:39,Diya283,user,Compare Faces,Manual trigger
349,2026-03-11 11:29:22,Kabir484,user,Model Retrain,User initiated
350,2026-01-18 10:26:01,Aarav474,user,Compare Faces,From desktop client
351,2025-11-17 21:38:34,Diya317,user,Password Changed,User initiated
352,2025-12-06 10:48:58,Riya313,admin,Settings Changed,From desktop client
353,2025-11-21 08:50:25,SG SHISHIR,user,Export CSV,Batch execution
354,2026-01-04 01:25:41,Kabir61,user,Attendance Marked,From analytics panel
355,2026-02-10 18:09:31,Myra89,user,Logout,From analytics panel
356,2025-11-17 21:45:59,Ira910,user,Attendance Marked,From desktop client
357,2025-12-06 23:14:42,Vihaan16,user,Model Retrain,Automated schedule
358,2025-11-20 14:59:05,Diya60,user,Settings Changed,User initiated
359,2026-01-26 03:37:39,Ishaan572,user,Compare Faces,User initiated
360,2026-01-16 11:39:50,Pari23,user,Password Changed,From analytics panel
361,2025-11-17 05:56:27,shishir1,user,Logout,Automated schedule
362,2025-11-12 12:46:27,Myra298,user,Compare Faces,From analytics panel
363,2025-12-11 07:44:10,Kabir531,user,Settings Changed,Batch execution
364,2025-12-15 19:35:33,Myra89,user,Compare Faces,From desktop client
365,2025-11-21 21:29:26,Atharv240,user,Password Changed,From analytics panel
366,2026-02-28 16:44:02,Atharv528,user,Generate Face,From desktop client
367,2026-02-24 08:49:49,Avni724,user,Logout,Automated schedule
368,2026-03-08 14:01:17,Avni579,user,Attendance Marked,Batch execution
369,2026-02-04 05:53:16,Kiara937,user,Export CSV,Automated schedule
370,2025-12-14 08:39:11,Diya183,user,Password Changed,Automated schedule
371,2026-02-07 09:57:31,Diya497,user,Export CSV,Batch execution
372,2025-12-02 03:23:42,Sara919,user,Export CSV,From desktop client
373,2025-11-14 13:37:36,Kiara714,user,Login,User initiated
374,2025-12-28 05:25:09,Vihaan113,user,Login,From desktop client
375,2026-02-06 13:46:13,Ira910,user,Login,Batch execution
376,2026-01-30 00:51:45,Diya60,user,Password Changed,From analytics panel
377,2025-12-13 22:08:36,Riya941,user,Logout,Automated schedule
378,2026-02-24 08:01:14,Aadhya505,user,Generate Face,Batch execution
379,2026-02-25 04:29:30,Kabir906,user,Attendance Marked,User initiated
380,2026-02-22 14:42:02,Aadhya418,user,Compare Faces,Manual trigger
381,2026-01-20 04:59:02,Ira910,user,Export CSV,Manual trigger
382,2025-12-28 12:49:17,Kiaan117,user,Login,From desktop client
383,2026-03-01 23:44:27,Kiaan460,user,Login,Batch execution
384,2026-01-19 07:05:32,Diya637,user,Login,From analytics panel
385,2025-11-18 12:17:51,Diya497,user,Attendance Marked,User initiated
386,2026-01-22 09:15:54,Riya941,user,Settings Changed,From desktop client
387,2026-01-23 12:52:59,Atharv900,user,Logout,User initiated
388,2026-01-23 13:33:38,Kabir308,user,Export CSV,From desktop client
389,2025-12-26 11:31:31,Ira275,user,Generate Face,Batch execution
390,2026-02-14 09:55:54,Kabir531,user,Export CSV,Automated schedule
391,2026-03-10 17:02:28,Riya941,user,Generate Face,Manual trigger
392,2025-12-16 12:56:50,Kiara44,user,Attendance Marked,Batch execution
393,2026-03-07 13:41:47,Atharv96,user,Attendance Marked,Batch execution
394,2026-01-02 11:35:28,Kabir308,user,Password Changed,Automated schedule
395,2026-01-12 01:46:56,Vihaan431,user,Generate Face,Manual trigger
396,2025-12-05 13:00:18,Vihaan431,user,Model Retrain,Automated schedule
397,2025-12-15 19:03:05,SG SHISHIR,user,Model Retrain,Automated schedule
